Bawang Merah,Bawang Putih Honan,Bawang Putih Kating,Beras Medium,Beras Premium,Cabe Merah Besar,Cabe Merah Keriting,Cabe Rawit Merah,Daging Ayam Ras,Daging Sapi Paha Belakang,Gula Pasir,Kedelai Impor,Minyak Goreng Curah,Minyak Goreng Kemasan,Minyak Goreng Kemasan Sederhana,Telur Ayam Ras,Tepung Terigu,date
26957.21314117647,28004.363135294127,29348.14148999999,10279.734758823528,12337.628951515151,37334.263866666675,38814.00886764706,39874.36626874999,35100.30158235294,125602.49952352943,13026.634561764706,12369.342613333334,16643.694670967743,18429.014697058825,16898.07311785714,25184.27122352942,10293.665029411764,2021-11-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-01
36783.70105294119,33403.60721470588,35024.30771333333,10624.521623529414,12337.724393939396,44487.215911111125,41083.91806470588,57291.27274000001,33150.122302941185,119088.08353235296,13661.29085882353,10041.827296551724,11652.54737096774,14467.268972727272,12126.553907692307,25661.808917647064,9621.509405882352,2020-01-01
38891.48266176469,48005.04943529412,49068.85954615385,10664.947455882353,12330.11329090909,50202.59972222223,44561.47388823528,54682.55665806451,33438.76499117647,119031.04241470588,14158.675005882353,10192.815193103448,11692.040268749997,14611.374303030301,12191.144242307693,25445.683844117644,9629.204629411764,2020-02-01
37606.34354705884,43181.9444882353,45905.83656923077,10648.262845454547,12373.983575757577,38259.602877777776,35799.146135294126,45174.216723333346,32565.77924117647,119356.2203794118,16706.90291470588,10178.318089655171,11568.929354838712,14758.257609090912,12235.837973076921,26023.206770588244,9622.719297058822,2020-03-01
42750.316176470595,42206.67852647059,37736.50964285714,10669.160458064514,12442.08692727273,32053.78330666666,30497.418264705888,48251.59870303031,30001.67398235294,119528.60814705884,18487.20362352941,10474.592445161292,11605.268593749997,14812.01446470588,12470.096748275862,26857.793155882347,9623.123700000002,2020-04-01
53537.877494117645,33722.089302941175,36534.81169444444,10760.847315151515,12498.439242424245,30088.29432903226,28814.646258823537,36534.89216666667,33584.9205764706,122436.32305882353,16851.532644117648,10470.041093333335,11463.61016875,14836.875464705881,12739.30646,25364.767247058822,9824.383085294117,2020-05-01
51209.81042647059,26602.787438235293,27080.391685000002,10656.502332258066,12451.007715151514,28114.305290322583,27442.78724117647,35446.04155151515,38131.50111470588,120607.35792941175,15119.67788529412,10266.098236666665,10641.069912121211,14683.285188235292,12520.104282142855,26406.662423529415,9788.043758823527,2020-06-01
36923.79065294117,22080.001373529416,22451.226824999998,10601.11330625,12421.435148484847,29805.379903333334,30536.7751,35668.09790606061,36232.67793823529,120713.65739117644,13974.697850000004,10180.218553333334,11308.636019354839,14683.142999999998,12495.689048148151,27146.462176470595,9835.373861764705,2020-07-01
31061.853782352937,22452.294132352945,24561.77692631579,10563.7509125,12422.187563636364,29935.923970967742,31134.054423529407,35185.968351515156,32483.168985294116,120497.53817941173,13587.130391176472,10199.6679,11719.21725625,14661.232964705885,12750.054814285715,26673.013641176472,9884.547270588237,2020-08-01
29484.467105882344,24981.76633529412,26112.912665,10522.461484374999,12411.02801818182,31923.306437931034,30665.93619705883,33831.14056363636,31966.83412058823,120568.61238529414,13449.468567647058,10060.90325,11937.177867741933,14778.530323529412,12721.931074074073,25512.412511764705,9882.698661764705,2020-09-01
32341.93330294118,25342.277394117642,25950.092638888887,10636.096255882352,12420.283248484848,39642.988548275855,39086.19492941177,35140.627456250004,32794.83565588234,120430.99546470588,13303.645288235293,10101.109143333337,12183.667590625,14959.275017647062,12919.925925925922,25189.251988235294,9929.720935294115,2020-10-01
36256.30532647058,26868.17332058824,28154.306042105265,10661.999750000003,12411.617003030307,40414.81336551725,40616.82009411765,39794.98362812499,35487.1457,120522.97672058824,13279.683626470589,10055.51794,12264.85709032258,14928.393170588237,13073.671062962963,26156.24391764706,10057.7683,2020-11-01
35313.050094117665,27150.060923529414,29360.78033333334,10648.691070588235,12401.141545454542,50764.905199999994,49602.032664705905,53335.214618750004,35598.01869117647,120877.15907352942,13336.084417647056,10213.415736666666,12488.036871875,15007.89297352941,12697.628999999999,28213.851064705887,9966.873408823527,2020-12-01
