Bawang Merah,Bawang Putih Honan,Bawang Putih Kating,Beras Medium,Beras Premium,Cabe Merah Besar,Cabe Merah Keriting,Cabe Rawit Merah,Daging Ayam Ras,Daging Sapi Paha Belakang,Gula Pasir,Kedelai Impor,Minyak Goreng Curah,Minyak Goreng Kemasan,Minyak Goreng Kemasan Sederhana,Telur Ayam Ras,Tepung Terigu,date
32470.267938235294,44749.48278529413,29233.5966241342,10509.834503571428,12380.317125757574,28647.49959333333,28418.94476470588,45012.88766562499,31823.67982941177,117667.02238823533,13487.263608823532,10807.310746875,11871.492220588234,15071.614559375,12504.967606129807,23889.04093529412,8723.511476470587,2017-06-01
36234.74499411765,34273.771173529414,30674.4791625,10524.502457142857,12380.317125757574,28655.39362666667,30060.21318823529,48850.57337096775,31944.288291176465,117062.51049705881,13383.86256470588,10855.614440625002,11837.344047058823,15082.304299999998,23116.66666,24369.688773529408,8664.549817647057,2017-07-01
30232.33717647058,29812.798391176475,31680.63032580645,10550.61537142857,12380.317125757574,29127.255251724146,29796.127908823524,41479.737912903234,33000.234723529415,117324.64821470589,13330.31159411765,10817.69705,11765.896394117646,15149.771593939397,15873.981817241376,23958.76238529412,8951.874473529413,2017-08-01
26808.67502352941,26782.63790882353,28300.488007999997,10556.632575,12380.317125757574,29603.651082758624,30213.473576470595,35186.32277187501,31601.31830294118,116785.31496764706,13119.85806470588,10832.1983125,11771.85094117647,15188.20616060606,12343.439066666666,23085.9079,9025.812414705882,2017-09-01
23498.791611764707,23937.700714705883,25910.277513636367,10605.767846428571,12380.317125757574,29140.861131034482,31605.009576470587,30999.27579354839,30364.918967647056,116731.90765882352,12924.726494117644,10869.442462499996,11822.266173529411,15101.83291212121,12620.989628571431,22796.315273529413,9019.738288235294,2017-10-01
24817.14360882353,22932.917435294123,24448.427356521737,10678.561075,12380.317125757574,30392.25671333334,32072.27398529412,32642.220943749984,30823.04302941176,116778.94520000006,12802.812285294116,10813.40183125,11874.056970588235,15077.835515151515,12505.991215384614,22918.669526470592,9030.138888235291,2017-11-01
25429.273576470594,23218.148470588243,24522.4404625,10781.215207142857,12380.317125757574,34290.293329999986,34578.40495882353,36905.5447,32535.998105882347,117191.08395588235,12769.957370588234,10843.246128125,11846.030861764708,15100.1303,12515.764757142859,25183.542750000004,9065.534844117648,2017-12-01
25074.22094117647,22994.556441176468,25974.00428695652,10934.663979411762,12380.317125757574,36689.41080333332,37139.450188235314,46548.68345,33899.34905,117450.39775294118,12596.786952941176,11198.011993939395,11835.147047058821,15069.542163636364,12452.332357692307,25648.965897058817,9065.846508823528,2018-01-01
25140.922450000005,26382.817479411766,28696.704796,10993.681461764709,12380.317125757574,39221.682172413806,37852.63130882353,47424.644928125,31802.494276470585,116829.53780588233,12497.79280588235,10701.565106060609,11708.73412352941,15135.871514705876,13286.725616129035,24341.64548235295,9075.913482352944,2018-02-01
27598.276467647054,30671.09921470589,33173.59357407408,10831.295961764708,12428.687156249995,42570.00063,40939.431470588235,54230.965509090915,31750.943911764713,116536.63007352944,12463.196473529411,10480.086733333335,11640.558490909087,15047.326405882352,12536.562154838708,24013.405614705884,9130.378508823527,2018-03-01
35895.0058117647,33134.746594117656,37835.83588148149,10695.37830588235,12410.19425,43378.15188000001,38884.68090882354,46965.942084848495,32814.95525882353,116578.39068235295,12431.206505882352,10525.990706060607,11631.62507272727,14979.795805882351,12558.571855882352,23947.523723529408,9089.206117647058,2018-04-01
35658.0064617647,28076.821097058822,30321.3867037037,10541.750402941178,12271.485663636362,37295.50943793105,35936.066079411765,38693.62659696969,35300.013735294124,117292.92219411765,12427.046661764705,10293.598530303028,11581.374975757575,14928.657197058823,12503.943996875,25579.774132352934,9107.49079117647,2018-05-01
34824.38805882353,27617.813129411763,29569.1398,10467.931188235294,12218.614466666668,36278.249624137934,35527.13847352941,43970.59093030304,35775.58522058823,119377.6253264706,12339.007129411762,10346.516872727274,11485.406290909092,14926.795473529412,12354.332209090908,25403.656897058823,9148.132523529412,2018-06-01
29748.48150882353,27024.746497058823,28700.1703,10440.194244117647,12225.5580030303,33533.40947586207,36658.591750000014,53520.60447575758,37972.601723529406,117767.12926176473,12311.36245,11061.774988235293,11447.78262121212,14882.057735294116,12323.226153125,26960.45521470588,9133.359785294117,2018-07-01
26489.59827941176,25816.69630882353,27977.96649583333,10459.259461764705,12202.408581818181,32398.296655172413,35005.949911764714,44071.15663636362,36392.659876470585,118055.98230294115,12258.545173529412,10269.579406060606,11309.53228181818,14846.875679411763,12356.719963636364,25848.665570588233,9178.099023529412,2018-08-01
23564.956629411758,24497.71423235294,26737.480576000005,10493.836070588233,12266.548606060604,28375.530956666677,28855.531470588237,34913.341370588234,33515.894700000004,118061.32396176472,12221.96751470588,10397.632393939391,11272.629987878789,14816.993682352939,12231.831280645161,24664.483614705878,9202.616720588236,2018-09-01
21972.671064705883,23858.7547,26267.275516,10487.430935294116,12258.147672727273,31027.23995666666,31780.032173529413,37461.17318181819,33173.410202941166,117824.75847941176,12114.183620588235,10339.292636363638,11202.534393939392,14828.030908823528,12156.111140624998,24067.759464705883,9192.217544117648,2018-10-01
24558.173347058833,24089.046188235294,26496.236523809526,10563.75241764706,12320.205593939398,30854.17454333333,31145.229279411764,38367.84356666667,33113.319479411766,117804.0856382353,12048.62554705882,10313.019584848484,11130.53543939394,14788.597361764707,12193.078958064514,24114.48946470588,9234.425494117648,2018-11-01
29100.96501470588,23427.385770588244,26751.689652380963,10640.027588235293,12461.256433333336,31769.76128064516,30760.014649999994,40998.686548484846,35711.83136764707,118267.01465294119,12003.755376470592,10304.286784848486,11169.291072727274,14783.925173529411,12234.92455757576,26235.968629411756,9355.478635294116,2018-12-01
31846.3217264706,23293.32196363636,27615.920394444438,10585.894556666666,12397.760206060606,29945.625570370365,27916.760105882357,41613.887546666665,35310.74860588235,118335.90422647061,11812.4865,10221.777978125,10736.022241935483,14647.379048484849,11964.236781481479,26337.879161764708,9450.110394117642,2019-01-01
28280.502650000013,23989.522918181825,28791.97094444444,10552.835422580645,12429.396893939393,27403.641503703708,25246.266802941176,36069.22775,33086.07891764706,118146.28988235295,11801.90679117647,10214.741859375,10709.80396875,14628.857620588233,12016.652703703703,25354.440602941173,9439.257461764708,2019-02-01
32398.98595882353,27882.44667352942,29809.669200000004,10568.335329032258,12295.555906060603,28295.912103448267,26363.704100000006,38472.60880689656,32400.569820588244,118016.3612264706,11926.57724705882,10239.54564375,10838.968734375,14567.190535294116,11935.443833333333,24250.775847058823,9543.067758823528,2019-03-01
39595.565867647056,41569.69290588234,38378.39317083333,10430.525709090905,12427.831109090908,31292.302246428568,29565.04183235294,40338.57002121213,33686.44780294117,118254.46098235295,12093.607529411765,10102.043654545452,10594.611054545456,14490.743152941177,11735.647437931035,24648.963694117643,9336.49569117647,2019-04-01
36384.74754411766,48476.986788235314,47144.374484,10349.990521212121,12313.152018181821,38524.46958275862,36901.47019117647,43661.184639393934,35483.197876470585,119264.40830882348,12815.282238235293,10346.797575,10551.573469696968,14553.129944117643,11742.829875,25725.395999999993,9468.943711764705,2019-05-01
37995.694608823535,39359.494364705875,39237.33015652174,10396.518378787878,12336.501112121208,51144.55092413793,49621.24283235294,43768.591749999985,34908.28087352942,119950.96654705885,12978.26647941176,10529.712984848486,10563.51338125,14580.032517647058,12394.538959375,25017.37940294118,9523.620597058825,2019-06-01
33692.367579411766,35806.807632352946,35978.325573684204,10394.693021875,12378.531839393936,57381.20903448277,57787.52139117647,61002.645784848486,34960.33505882353,119621.91358823527,12931.647135294117,10251.714759375,10766.344540625003,14418.609867647056,12069.56155517241,24823.048132352946,9531.609881818184,2019-07-01
27880.69004411765,32768.13977647058,31643.027152631577,10412.035206060606,12386.59623636364,61088.710634482726,63549.30301764705,74713.63482058824,33334.477402941164,120215.42294411766,12814.509452941176,10150.0608625,10434.540578125,14412.845752941177,11587.493663333335,24941.0268,9777.22975,2019-08-01
22823.49367352941,30930.54805588236,29630.753990909096,10405.081751515152,12395.188748484848,42485.571731034484,48018.53252941178,64742.183396969696,31866.009299999994,119624.74343235293,12810.255935294117,10019.919553125,10453.143634374996,14363.781435294119,12081.99482333333,24478.031841176475,9862.001635294117,2019-09-01
